timestamp,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Max_Wind_Speed,Air_Pressure,time_sin,time_cos,day_of_year,month,Active_Power
2022-12-01 00:00:00,1.460000038,24.0233326,-4.27807188,137.1333313,0.0,2.900000095,953.2000122,0.0,1.0,335,12,-0.360146963
2022-12-01 00:05:00,1.779999971,24.01000023,-4.020768642,133.8666687,0.0,3.400000095,953.1966553,0.02181488503456112,0.9997620270799091,335,12,-0.362341552
2022-12-01 00:10:00,1.73333323,23.90333366,-4.154150963,140.8666687,0.0,2.700000048,953.1166382,0.043619387365336,0.9990482215818578,335,12,-0.36131167
2022-12-01 00:15:00,1.959999919,23.65666771,-4.593070507,135.2333374,0.0,3.799999952,953.0999756,0.06540312923014306,0.9978589232386035,335,12,-0.362035586
2022-12-01 00:20:00,1.423333406,23.52000046,-4.745438576,133.5,0.0,2.700000048,953.0733032,0.08715574274765817,0.9961946980917455,335,12,-0.361137775
2022-12-01 00:25:00,1.406666636,23.5,-4.443428516,134.1333313,0.0,2.799999952,953.0700073,0.10886687485196457,0.9940563382223196,335,12,-0.361899775
2022-12-01 00:30:00,0.796666682,23.5,-4.276596546,133.3666687,0.0,2.799999952,953.0700073,0.13052619222005157,0.9914448613738104,335,12,-0.3612387
2022-12-01 00:35:00,1.793333292,23.54000092,-4.083338737,129.7666626,0.0,3.900000095,952.9433594,0.1521233861899167,0.9883615104677607,335,12,-0.35475421
2022-12-01 00:40:00,1.350000024,23.62666702,-4.107520103,127.3000031,0.0,2.599999905,952.9233398,0.17364817766693033,0.984807753012208,335,12,-0.355409329
2022-12-01 00:45:00,1.879999995,23.66333389,-4.181571484,124.1666641,0.0,3.400000095,952.9500122,0.19509032201612825,0.9807852804032304,335,12,-0.356079264
2022-12-01 00:50:00,1.370000005,23.79333305,-3.998223066,115.4333344,0.0,3.099999905,952.9899902,0.21643961393810288,0.9762960071199334,335,12,-0.357693528
2022-12-01 00:55:00,1.606666684,23.83333206,-3.902652264,132.6999969,0.0,3.0,952.9899902,0.2376858923261731,0.9713420698132614,335,12,-0.357007305
2022-12-01 01:00:00,1.523333311,23.78999901,-4.12711525,129.1333313,0.0,2.799999952,952.9000244,0.25881904510252074,0.9659258262890683,335,12,-0.358164246
2022-12-01 01:05:00,1.686666608,23.70000076,-4.204149246,130.6666718,0.0,3.0,952.833313,0.2798290140309921,0.9600498543859287,335,12,-0.359116434
2022-12-01 01:10:00,1.516666651,23.62000084,-4.175766468,132.4333344,0.0,2.900000095,952.8066406,0.3007057995042731,0.9537169507482269,335,12,-0.354748049
2022-12-01 01:15:00,1.639999986,23.51000023,-4.397759914,127.9666672,0.0,2.799999952,952.7833252,0.3214394653031616,0.9469301294951057,335,12,-0.356026331
2022-12-01 01:20:00,1.673333287,23.37666702,-4.219350815,132.4666595,0.0,3.099999905,952.6633301,0.3420201433256687,0.9396926207859084,335,12,-0.355158349
2022-12-01 01:25:00,1.639999986,23.19333458,-4.36164856,137.7666626,0.0,3.0,952.5999756,0.36243803828370164,0.9320078692827986,335,12,-0.355764428
2022-12-01 01:30:00,1.413333297,23.0466671,-4.517864704,135.1666718,0.0,2.5,952.5999756,0.3826834323650898,0.9238795325112867,335,12,-0.355769321
2022-12-01 01:35:00,1.333333373,22.87666702,-4.660450935,131.1333313,0.0,2.599999905,952.543335,0.40274668985873724,0.9153114791194471,335,12,-0.358932709
2022-12-01 01:40:00,1.373333335,22.73999977,-4.585277081,134.1999969,0.0,2.5,952.4766846,0.42261826174069944,0.9063077870366499,335,12,-0.363367883
2022-12-01 01:45:00,1.029999971,22.57666779,-4.875196457,131.8666687,0.0,2.0,952.3800049,0.4422886902190013,0.8968727415326883,335,12,-0.363050311
2022-12-01 01:50:00,1.233333349,22.38333321,-4.711411476,128.5333405,0.0,2.599999905,952.289978,0.4617486132350339,0.8870108331782217,335,12,-0.360331494
2022-12-01 01:55:00,1.129999995,22.22999954,-4.78918314,130.1000061,0.0,2.200000048,952.2266846,0.48098876891938763,0.8767267557075077,335,12,-0.363538394
2022-12-01 02:00:00,1.426666617,22.10000038,-4.676743031,130.3666687,0.0,2.5,952.1833496,0.49999999999999994,0.8660254037844387,335,12,-0.362836519
2022-12-01 02:05:00,1.24333334,21.99333382,-4.375150204,135.5333405,0.0,2.099999905,952.210022,0.5187732581605213,0.8549118706729466,335,12,-0.363601884
2022-12-01 02:10:00,1.096666694,21.82333183,-4.501123905,138.0,0.0,2.099999905,952.2999878,0.5372996083468238,0.8433914458128857,335,12,-0.36534827
2022-12-01 02:15:00,0.976666689,21.64666748,-4.859899044,135.9333344,0.0,2.099999905,952.3166504,0.5555702330196022,0.8314696123025452,335,12,-0.363918696
2022-12-01 02:20:00,0.913333356,21.51333427,-4.812626839,139.3666687,0.0,1.600000024,952.4000244,0.573576436351046,0.8191520442889918,335,12,-0.360843529
2022-12-01 02:25:00,0.936666667,21.28000069,-4.865992069,135.8333282,0.0,1.799999952,952.376709,0.5913096483635824,0.8064446042674827,335,12,-0.361325475
2022-12-01 02:30:00,0.790000021,21.0233326,-4.986225605,134.8000031,0.0,1.5,952.25,0.6087614290087207,0.7933533402912352,335,12,-0.359896522
2022-12-01 02:35:00,0.769999981,20.78666687,-5.026955128,129.4666595,0.0,1.899999976,952.2166748,0.6259234721840591,0.7798844830928818,335,12,-0.360478795
2022-12-01 02:40:00,0.810000002,20.63000107,-5.024870872,131.8999939,0.0,1.799999952,952.2166748,0.6427876096865393,0.766044443118978,335,12,-0.360499298
2022-12-01 02:45:00,0.980000019,20.56333351,-4.702431679,136.7666626,0.0,1.700000048,952.2000122,0.6593458151000688,0.7518398074789774,335,12,-0.361687376
2022-12-01 02:50:00,1.303333282,20.41333389,-4.36238575,148.1999969,0.0,1.799999952,952.2000122,0.6755902076156602,0.7372773368101241,335,12,-0.360092367
2022-12-01 02:55:00,1.053333282,20.26000023,-4.305588722,140.6333313,0.0,1.600000024,952.2766724,0.6915130557822693,0.7223639620597556,335,12,-0.361198569
2022-12-01 03:00:00,1.070000052,20.10333443,-4.380153179,144.9666595,0.0,1.799999952,952.3666992,0.7071067811865476,0.7071067811865476,335,12,-0.364024809
2022-12-01 03:05:00,1.283333302,20.0,-4.165119171,147.6666718,0.0,2.0,952.4000244,0.7223639620597555,0.6915130557822694,335,12,-0.364974243
2022-12-01 03:10:00,1.033333302,19.92333221,-4.191256523,138.6333313,0.0,1.799999952,952.4000244,0.7372773368101241,0.6755902076156602,335,12,-0.363404218
2022-12-01 03:15:00,1.019999981,19.75,-4.494677544,144.3000031,0.0,1.899999976,952.416687,0.7518398074789773,0.659345815100069,335,12,-0.361983188
2022-12-01 03:20:00,1.313333392,19.70000076,-4.183014393,144.4333344,0.0,2.200000048,952.5,0.766044443118978,0.6427876096865394,335,12,-0.360445296
2022-12-01 03:25:00,0.943333328,19.60000038,-4.127468109,146.8999939,0.0,1.600000024,952.5,0.7798844830928817,0.6259234721840591,335,12,-0.362800658
2022-12-01 03:30:00,0.590000033,19.37333298,-4.748196602,139.1000061,0.0,1.0,952.4799805,0.7933533402912352,0.6087614290087207,335,12,-0.360865979
